[INFO] [1787952641.228214431] [bev_imu]: MPU-9250 WHO_AM_I=0x71 on /dev/spidev1.0, INT gpio-298 (falling edge, /dev/gpiochip1 offset 42), CLOCK_MONOTONIC
[INFO] [1787955029.398884825] [bev_imu]: 478000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955039.391415418] [bev_imu]: 480000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955049.384035762] [bev_imu]: 482000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955059.376675523] [bev_imu]: 484000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955069.369306094] [bev_imu]: 486000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955079.361946326] [bev_imu]: 488000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955089.354529912] [bev_imu]: 490000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955099.347259963] [bev_imu]: 492000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955109.339884317] [bev_imu]: 494000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955119.332491010] [bev_imu]: 496000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955129.325089637] [bev_imu]: 498000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955139.317735822] [bev_imu]: 500000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955149.310390109] [bev_imu]: 502000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955159.303023951] [bev_imu]: 504000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955169.295659338] [bev_imu]: 506000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955179.288368653] [bev_imu]: 508000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955189.281075001] [bev_imu]: 510000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955199.273751120] [bev_imu]: 512000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955209.266496561] [bev_imu]: 514000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955219.259174432] [bev_imu]: 516000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955229.251965242] [bev_imu]: 518000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955239.244692802] [bev_imu]: 520000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955249.237498367] [bev_imu]: 522000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955259.240266378] [bev_imu]: 524000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955269.233100514] [bev_imu]: 526000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955279.225912622] [bev_imu]: 528000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955289.218789937] [bev_imu]: 530000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955299.211669348] [bev_imu]: 532000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955309.204412512] [bev_imu]: 534000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955319.197226173] [bev_imu]: 536000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955329.189998188] [bev_imu]: 538000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955339.182762566] [bev_imu]: 540000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955349.175576640] [bev_imu]: 542000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955359.168363601] [bev_imu]: 544000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955369.161244375] [bev_imu]: 546000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955379.153932938] [bev_imu]: 548000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955389.146715406] [bev_imu]: 550000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955399.139514829] [bev_imu]: 552000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955409.132298321] [bev_imu]: 554000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955419.125105587] [bev_imu]: 556000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955429.117880915] [bev_imu]: 558000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955439.110752616] [bev_imu]: 560000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955449.103720096] [bev_imu]: 562000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955459.096246608] [bev_imu]: 564000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955469.088993792] [bev_imu]: 566000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955479.081722218] [bev_imu]: 568000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955489.074500653] [bev_imu]: 570000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955499.067265506] [bev_imu]: 572000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955509.059979755] [bev_imu]: 574000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955519.052683007] [bev_imu]: 576000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955529.045406749] [bev_imu]: 578000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955539.038092649] [bev_imu]: 580000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955549.030796010] [bev_imu]: 582000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955559.023444514] [bev_imu]: 584000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955569.016144149] [bev_imu]: 586000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955579.008779893] [bev_imu]: 588000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955589.001529027] [bev_imu]: 590000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955598.994126822] [bev_imu]: 592000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955608.986785707] [bev_imu]: 594000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955618.979469266] [bev_imu]: 596000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955628.972102437] [bev_imu]: 598000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955638.964747610] [bev_imu]: 600000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955648.957391086] [bev_imu]: 602000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955658.950021131] [bev_imu]: 604000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955668.942642240] [bev_imu]: 606000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955678.935297909] [bev_imu]: 608000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955688.927924827] [bev_imu]: 610000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955698.920541813] [bev_imu]: 612000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955708.913236668] [bev_imu]: 614000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955718.905820277] [bev_imu]: 616000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955728.898396874] [bev_imu]: 618000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955738.890999824] [bev_imu]: 620000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955748.883660433] [bev_imu]: 622000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955758.876192089] [bev_imu]: 624000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955768.868746651] [bev_imu]: 626000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955778.861342596] [bev_imu]: 628000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955788.853863549] [bev_imu]: 630000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955798.846380126] [bev_imu]: 632000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955808.838916725] [bev_imu]: 634000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955818.831434033] [bev_imu]: 636000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955828.823969505] [bev_imu]: 638000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955838.816417115] [bev_imu]: 640000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955848.808991596] [bev_imu]: 642000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955858.801534118] [bev_imu]: 644000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955868.794029112] [bev_imu]: 646000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955878.786507541] [bev_imu]: 648000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955888.779051246] [bev_imu]: 650000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955898.771588635] [bev_imu]: 652000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955908.764053865] [bev_imu]: 654000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955918.756565997] [bev_imu]: 656000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955928.749018269] [bev_imu]: 658000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955938.741526345] [bev_imu]: 660000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955948.733975686] [bev_imu]: 662000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955958.726472518] [bev_imu]: 664000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955968.718965309] [bev_imu]: 666000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955978.711440867] [bev_imu]: 668000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955988.703964075] [bev_imu]: 670000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787955998.696476933] [bev_imu]: 672000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787956008.688931916] [bev_imu]: 674000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787956018.681428151] [bev_imu]: 676000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787956028.673897594] [bev_imu]: 678000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787956038.666415398] [bev_imu]: 680000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787956048.658936307] [bev_imu]: 682000 samples, 9 dropped (edge seen late), 4 late reads, 0 clipped
[INFO] [1787956058.706225579] [bev_imu]: 684000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956068.698649188] [bev_imu]: 686000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956078.691010268] [bev_imu]: 688000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956088.683384209] [bev_imu]: 690000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956098.675742488] [bev_imu]: 692000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956108.668086344] [bev_imu]: 694000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956118.660400214] [bev_imu]: 696000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956128.652677215] [bev_imu]: 698000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956138.644930096] [bev_imu]: 700000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956148.637228073] [bev_imu]: 702000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956158.629468035] [bev_imu]: 704000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956168.621584975] [bev_imu]: 706000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956178.613720082] [bev_imu]: 708000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956188.605909772] [bev_imu]: 710000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956198.598061981] [bev_imu]: 712000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956208.590166979] [bev_imu]: 714000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956218.582284538] [bev_imu]: 716000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956228.574365635] [bev_imu]: 718000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956238.566485343] [bev_imu]: 720000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956248.558610380] [bev_imu]: 722000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956258.550719731] [bev_imu]: 724000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956268.542877737] [bev_imu]: 726000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956278.535014025] [bev_imu]: 728000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956288.527137224] [bev_imu]: 730000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956298.519300035] [bev_imu]: 732000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956308.511453969] [bev_imu]: 734000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956318.503657838] [bev_imu]: 736000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956328.495858329] [bev_imu]: 738000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956338.488050692] [bev_imu]: 740000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956348.480252235] [bev_imu]: 742000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956358.472493488] [bev_imu]: 744000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956368.464749250] [bev_imu]: 746000 samples, 20 dropped (edge seen late), 5 late reads, 0 clipped
[INFO] [1787956378.781707864] [bev_imu]: 748000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956388.774019373] [bev_imu]: 750000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956398.766214177] [bev_imu]: 752000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956408.758503479] [bev_imu]: 754000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956418.750758499] [bev_imu]: 756000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956428.743026247] [bev_imu]: 758000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956438.735354935] [bev_imu]: 760000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956448.727652241] [bev_imu]: 762000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956458.719953461] [bev_imu]: 764000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956468.712266041] [bev_imu]: 766000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956478.704593436] [bev_imu]: 768000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956488.696925720] [bev_imu]: 770000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956498.689246151] [bev_imu]: 772000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956508.681547722] [bev_imu]: 774000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956518.673878359] [bev_imu]: 776000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956528.666227473] [bev_imu]: 778000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956538.658543246] [bev_imu]: 780000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956548.650847214] [bev_imu]: 782000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956558.643184680] [bev_imu]: 784000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956568.635500668] [bev_imu]: 786000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956578.627792138] [bev_imu]: 788000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956588.620138633] [bev_imu]: 790000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956598.612367191] [bev_imu]: 792000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956608.604685745] [bev_imu]: 794000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956618.596967284] [bev_imu]: 796000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956628.589296509] [bev_imu]: 798000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956638.581510375] [bev_imu]: 800000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956648.573785905] [bev_imu]: 802000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956658.566073651] [bev_imu]: 804000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956668.558305358] [bev_imu]: 806000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956678.550554945] [bev_imu]: 808000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956688.542836230] [bev_imu]: 810000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956698.535046367] [bev_imu]: 812000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956708.527301217] [bev_imu]: 814000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956718.519511599] [bev_imu]: 816000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956728.511748965] [bev_imu]: 818000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956738.503970944] [bev_imu]: 820000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956748.496170396] [bev_imu]: 822000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956758.488390972] [bev_imu]: 824000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956768.480552347] [bev_imu]: 826000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956778.472769270] [bev_imu]: 828000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956788.464949028] [bev_imu]: 830000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956798.457191339] [bev_imu]: 832000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956808.449307302] [bev_imu]: 834000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956818.441516530] [bev_imu]: 836000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956828.433646092] [bev_imu]: 838000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956838.425812631] [bev_imu]: 840000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956848.417942379] [bev_imu]: 842000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956858.410060265] [bev_imu]: 844000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956868.402252848] [bev_imu]: 846000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956878.394381467] [bev_imu]: 848000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956888.386596717] [bev_imu]: 850000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956898.378700541] [bev_imu]: 852000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956908.370793133] [bev_imu]: 854000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956918.362941120] [bev_imu]: 856000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956928.355052809] [bev_imu]: 858000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956938.347155180] [bev_imu]: 860000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956948.339273867] [bev_imu]: 862000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956958.331377565] [bev_imu]: 864000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956968.323516616] [bev_imu]: 866000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956978.315655524] [bev_imu]: 868000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956988.307700177] [bev_imu]: 870000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787956998.299838478] [bev_imu]: 872000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957008.291913147] [bev_imu]: 874000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957018.284024595] [bev_imu]: 876000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957028.276051765] [bev_imu]: 878000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957038.268139425] [bev_imu]: 880000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957048.260259321] [bev_imu]: 882000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957058.252318362] [bev_imu]: 884000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957068.244374238] [bev_imu]: 886000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957078.236456713] [bev_imu]: 888000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957088.228528023] [bev_imu]: 890000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957098.220607428] [bev_imu]: 892000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957108.212634038] [bev_imu]: 894000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957118.204698949] [bev_imu]: 896000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957128.196752976] [bev_imu]: 898000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957138.188832349] [bev_imu]: 900000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957148.180904358] [bev_imu]: 902000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957158.172881829] [bev_imu]: 904000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957168.165057571] [bev_imu]: 906000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957178.157074646] [bev_imu]: 908000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957188.149072353] [bev_imu]: 910000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957198.141097632] [bev_imu]: 912000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957208.133347862] [bev_imu]: 914000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957218.125237471] [bev_imu]: 916000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957228.117226234] [bev_imu]: 918000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957238.109262666] [bev_imu]: 920000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957248.101298601] [bev_imu]: 922000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957258.093314137] [bev_imu]: 924000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957268.085349722] [bev_imu]: 926000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957278.077289034] [bev_imu]: 928000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957288.069338855] [bev_imu]: 930000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957298.061392238] [bev_imu]: 932000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957308.053400417] [bev_imu]: 934000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957318.045472321] [bev_imu]: 936000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957328.037445293] [bev_imu]: 938000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957338.029454113] [bev_imu]: 940000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957348.021474492] [bev_imu]: 942000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957358.013460501] [bev_imu]: 944000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957368.005391110] [bev_imu]: 946000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957377.997406675] [bev_imu]: 948000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957387.989367915] [bev_imu]: 950000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957397.981348399] [bev_imu]: 952000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957407.973341773] [bev_imu]: 954000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957417.965325183] [bev_imu]: 956000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957427.957324872] [bev_imu]: 958000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957437.949350124] [bev_imu]: 960000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957447.941287648] [bev_imu]: 962000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
